[Epoch 53/3000] D Loss: -3.9976 | G Loss: 0.6459 | W Dist: 4.9666 | Aux MSE: 0.0000

[Epoch 54/3000] D Loss: -4.1848 | G Loss: 0.6744 | W Dist: 5.1588 | Aux MSE: 0.0000

[Epoch 55/3000] D Loss: -4.2685 | G Loss: 0.6977 | W Dist: 5.4454 | Aux MSE: 0.0000

[Epoch 56/3000] D Loss: -4.0857 | G Loss: 0.4988 | W Dist: 5.2637 | Aux MSE: 0.0000

[Epoch 57/3000] D Loss: -4.3697 | G Loss: 0.5189 | W Dist: 5.7501 | Aux MSE: 0.0000

[Epoch 58/3000] D Loss: -4.4649 | G Loss: 0.4788 | W Dist: 5.6843 | Aux MSE: 0.0000

[Epoch 59/3000] D Loss: -4.9757 | G Loss: 0.6402 | W Dist: 6.1787 | Aux MSE: 0.0000

[Epoch 60/3000] D Loss: -5.3511 | G Loss: 0.8748 | W Dist: 6.6793 | Aux MSE: 0.0000

[Epoch 61/3000] D Loss: -5.0111 | G Loss: 0.9793 | W Dist: 6.7193 | Aux MSE: 0.0001

[Epoch 62/3000] D Loss: -4.4982 | G Loss: 0.9139 | W Dist: 6.5872 | Aux MSE: 0.0009

[Epoch 63/3000] D Loss: -3.1380 | G Loss: 0.6382 | W Dist: 6.1422 | Aux MSE: 0.0015

[Epoch 64/3000] D Loss: -2.9634 | G Loss: 0.4585 | W Dist: 5.8218 | Aux MSE: 0.0010

[Epoch 65/3000] D Loss: -2.2986 | G Loss: 0.4242 | W Dist: 5.5613 | Aux MSE: 0.0018

[Epoch 66/3000] D Loss: -3.0149 | G Loss: 0.4618 | W Dist: 5.4674 | Aux MSE: 0.0008

[Epoch 67/3000] D Loss: -3.6109 | G Loss: 0.7042 | W Dist: 5.4192 | Aux MSE: 0.0004

[Epoch 68/3000] D Loss: -3.8709 | G Loss: 0.7944 | W Dist: 5.5644 | Aux MSE: 0.0002

[Epoch 69/3000] D Loss: -4.0305 | G Loss: 0.7796 | W Dist: 5.6834 | Aux MSE: 0.0001

[Epoch 70/3000] D Loss: -3.9097 | G Loss: 0.5679 | W Dist: 5.5343 | Aux MSE: 0.0001

[Epoch 71/3000] D Loss: -4.3118 | G Loss: 0.6194 | W Dist: 5.7996 | Aux MSE: 0.0001

[Epoch 72/3000] D Loss: -3.5789 | G Loss: 0.6945 | W Dist: 5.6035 | Aux MSE: 0.0001

[Epoch 73/3000] D Loss: -3.8766 | G Loss: 0.8675 | W Dist: 5.6815 | Aux MSE: 0.0001

[Epoch 74/3000] D Loss: -3.5579 | G Loss: 0.9404 | W Dist: 5.5730 | Aux MSE: 0.0003

[Epoch 75/3000] D Loss: -3.9817 | G Loss: 0.9197 | W Dist: 5.6139 | Aux MSE: 0.0002

[Epoch 76/3000] D Loss: -4.1267 | G Loss: 0.8839 | W Dist: 5.7680 | Aux MSE: 0.0001

[Epoch 77/3000] D Loss: -4.1996 | G Loss: 0.9586 | W Dist: 5.8317 | Aux MSE: 0.0001

[Epoch 78/3000] D Loss: -4.4553 | G Loss: 1.0634 | W Dist: 5.9871 | Aux MSE: 0.0001

[Epoch 79/3000] D Loss: -4.8578 | G Loss: 1.4078 | W Dist: 6.4842 | Aux MSE: 0.0001

[Epoch 80/3000] D Loss: -4.4123 | G Loss: 1.5159 | W Dist: 6.3209 | Aux MSE: 0.0000

[Epoch 81/3000] D Loss: -4.7095 | G Loss: 1.6046 | W Dist: 6.6432 | Aux MSE: 0.0000

[Epoch 82/3000] D Loss: -4.8250 | G Loss: 1.7283 | W Dist: 6.7279 | Aux MSE: 0.0000

[Epoch 83/3000] D Loss: -4.1732 | G Loss: 1.8788 | W Dist: 6.6683 | Aux MSE: 0.0000

[Epoch 84/3000] D Loss: -3.9730 | G Loss: 1.7863 | W Dist: 6.4507 | Aux MSE: 0.0000

[Epoch 85/3000] D Loss: -2.4822 | G Loss: 1.6454 | W Dist: 6.0216 | Aux MSE: 0.0000

[Epoch 86/3000] D Loss: -2.7994 | G Loss: 1.5379 | W Dist: 5.5466 | Aux MSE: 0.0000

[Epoch 87/3000] D Loss: -2.9105 | G Loss: 1.5450 | W Dist: 5.6219 | Aux MSE: 0.0000

